	std, noise	std, random effect
medial_rectus	1.4408707750982859	0.01010032839240048
longissimus_cervicis	0.7810867165667843	0.003903865461973517
SCM	0.9721693022901089	0.00697323827753091
RCP_major	0.8191642071632602	0.0046804735618135255
RCP_minor	0.8437148282160613	0.0046804735618135255
ADM	0.9505718064286107	0.006462411360635018
abductor_pollicis	0.7746189591564213	0.004309698267165875
adductor_pollicis	0.9017309446936713	0.005826178934699678
biceps_brachii	0.7151373018938946	0.003903865461973517
brachioradialis	0.7975874737562251	0.0046804735618135255
deltoideus	0.8561451946880587	0.005877527073414922
interossei_dors	0.8193717989172383	0.004309698267165875
FDP	0.8274405712851493	0.005023959237603303
FPB	1.0680898835774049	0.006448750448804298
palmaris_long	0.8698169253154249	0.005848042316710974
pronator_quadratus	0.7761579417015031	0.004309698267165875
pronator_teres	0.7352326035452771	0.004309698267165875
lumbricales	0.8587603198307895	0.0046804735618135255
ODM	0.8437439836763535	0.005159698500804204
opponens_pollicis	0.8927154091315257	0.005778052154514914
interossei_palmares	0.8870818398324352	0.0054820208793117265
triceps_brachii	0.7385375057385333	0.0038486864344594754
SIBL	0.717355721903052	0.003903865461973517
anconeus	0.7030963093955674	0.0038486864344594754
super_rectus	1.461395106593579	0.010820951585100108
brachialis	0.7508081306764607	0.004309698267165875
FCR	0.8074940563040932	0.0048358955129822224
FDS	0.8099553040475339	0.004757752957444365
ECRB	0.8194516304057753	0.004309698267165875
FCU	0.8451769560526137	0.005865700012828466
FDMB	0.8899030505206604	0.0054820208793117265
diaphragm	1.0864571930704228	0.008680165349583286
rectus_abdominis	0.8922671289400672	0.005074794444106647
subscapularis	0.7707702411196514	0.004309698267165875
intercostales	0.7987123966182094	0.0046804735618135255
infer_rectus	1.4430174486005212	0.010896899251574783
latissimus_dorsi	0.9249471425245223	0.0054820208793117265
pectoralis_major	1.000027204911355	0.00627451533204408
psoas	0.8615113515179568	0.0051690636620305794
rhomboideus	0.8017438912856985	0.004309698267165875
serratus_ant	0.7841987178072833	0.003903865461973517
trapezius	0.8688821373307323	0.0046804735618135255
iliocostalis_lumborum	0.7791752102885694	0.004309698267165875
longissimus_thoracis	0.9103843805834798	0.0054820208793117265
adductor_brev	0.7706029656731249	0.003903865461973517
adductor_long	0.7522396262716513	0.0033880752304512327
super_oblique	1.2425302631167103	0.007988998829634612
adductor_magnus	0.9091179050338617	0.0051690636620305794
biceps_femoris	0.8045826886507941	0.004309698267165875
EDB	1.0476534554586343	0.005778052154514914
EDL	0.771335300828019	0.0046804735618135255
EHL	0.8067084672844379	0.0046804735618135255
FDL	0.8791360006898862	0.0051690636620305794
FHL	0.8410888317400637	0.004702142440877732
gracilis	0.7060566950477508	0.0038486864344594754
gastrocnemius_caput_lat	0.8522136161957631	0.0051690636620305794
gastrocnemius_caput_mediale	0.8209485477745828	0.0051690636620305794
infer_oblique	1.4594055939665476	0.010197709682253225
peroneus_brev	0.8593273002517442	0.0046804735618135255
peroneus_long	0.758496335858872	0.004309698267165875
rectus_femoris	0.8187489744138129	0.004309698267165875
sartorius	0.8121455406641317	0.004309698267165875
semimembranosus	0.7717286590639462	0.004309698267165875
semitendinosus	0.7802545409529141	0.003903865461973517
soleus	0.8751045082449581	0.0051690636620305794
tibialis_ant	0.8460404610904836	0.0051690636620305794
tibialis_post	0.9184623217913017	0.0051690636620305794
vastus_intermed	0.7647844392680309	0.003903865461973517
pterygoideus_lat	1.0180695727931774	0.00697323827753091
vastus_lat	0.7942535493390078	0.003903865461973517
vastus_medial	0.8435684891589942	0.0051690636620305794
gluteus_max	0.9364520822945075	0.005974569354975587
gluteus_med	0.8457188438610909	0.0054820208793117265
gluteus_min	0.8097702270015927	0.004309698267165875
temporalis	0.9224621598797738	0.0054820208793117265
lingua	1.24310586094806	0.009056044362565678
